Activity,Mean_Absolute_Contribution,N
Service Change,34.71823501586914,2
Affected CI Change,30.857131958007812,2
Update from customer,14.728968238830566,10
Closed,13.81156641717941,63
Resolved,10.536246120929718,4
Analysis/Research,8.876548767089844,1
Mail to Customer,7.622216913435194,18
Caused By CI,6.730883610554231,39
Quality Indicator Set,5.750752925872803,6
Vendor Reference Change,5.457756042480469,1
Reopen,4.085404396057129,12
Description Update,4.047970361709595,25
Pending vendor,3.9275044798851013,12
Quality Indicator Fixed,3.453374351773943,14
Reassignment,3.14662681470077,209
Communication with customer,3.0962426132626004,18
Impact Change,2.7784393310546873,5
Operator Update,2.565377721744301,226
Update,2.1224898875959766,149
Vendor Reference,1.3013687133789062,2
Incident reproduction,1.2140312194824219,1
Status Change,1.1792499163077266,227
Urgency Change,1.0915946960449219,5
Assignment,0.9873137769536076,351
External Vendor Assignment,0.9656954933615292,17
Problem Workaround,0.3984832763671875,1
Open,0.12977784334636125,244
