Test_Index,Case_ID,Prefix_Len,True_Remaining_h,Pred_Remaining_h,True_Class,Pred_Class,Feature,F1_Attribution,F2_Attribution
41,IM0042279,1,2.339444398880005,19.748788833618164,0,0,prefix_len,-0.011715224012732506,-0.001799594727344811
41,IM0042279,1,2.339444398880005,19.748788833618164,0,0,elapsed_h,-0.02297896519303322,0.044297728687524796
41,IM0042279,1,2.339444398880005,19.748788833618164,0,0,time_since_prev_h,-0.00011363729572622105,0.016224265098571777
41,IM0042279,1,2.339444398880005,19.748788833618164,0,0,dow_sin,0.042087238281965256,-0.011963176541030407
41,IM0042279,1,2.339444398880005,19.748788833618164,0,0,dow_cos,-0.042523354291915894,-0.01244762446731329
41,IM0042279,1,2.339444398880005,19.748788833618164,0,0,n_distinct_acts_so_far,-0.020713483914732933,0.005238331854343414
41,IM0042279,1,2.339444398880005,19.748788833618164,0,0,gap_max_so_far,-0.009544908069074154,0.02664414793252945
41,IM0042279,1,2.339444398880005,19.748788833618164,0,0,pace_ratio,0.030079124495387077,0.013716744258999825
41,IM0042279,1,2.339444398880005,19.748788833618164,0,0,events_per_hour,-0.0649004802107811,0.036165859550237656
41,IM0042279,1,2.339444398880005,19.748788833618164,0,0,activity_diversity,-0.006974898278713226,0.005984202492982149
41,IM0042279,1,2.339444398880005,19.748788833618164,0,0,gap_cv,-0.02700231410562992,0.014696845784783363
195,IM0042294,7,18.413610458374023,25.99826431274414,0,1,prefix_len,-0.000560324639081955,-0.004666566848754883
195,IM0042294,7,18.413610458374023,25.99826431274414,0,1,elapsed_h,-0.05220765247941017,0.0035258957650512457
195,IM0042294,7,18.413610458374023,25.99826431274414,0,1,time_since_prev_h,-0.06502290815114975,0.03517237305641174
195,IM0042294,7,18.413610458374023,25.99826431274414,0,1,dow_sin,0.03381062671542168,0.016451912000775337
195,IM0042294,7,18.413610458374023,25.99826431274414,0,1,dow_cos,-0.0636960119009018,0.07952634245157242
195,IM0042294,7,18.413610458374023,25.99826431274414,0,1,n_distinct_acts_so_far,-0.0006504557095468044,-0.0032140607945621014
195,IM0042294,7,18.413610458374023,25.99826431274414,0,1,gap_max_so_far,-0.03694698214530945,0.022694602608680725
195,IM0042294,7,18.413610458374023,25.99826431274414,0,1,pace_ratio,-0.01395171508193016,-0.004569070413708687
195,IM0042294,7,18.413610458374023,25.99826431274414,0,1,events_per_hour,-0.17930196225643158,-0.0775214359164238
195,IM0042294,7,18.413610458374023,25.99826431274414,0,1,activity_diversity,-0.00966244749724865,-0.0011719161411747336
195,IM0042294,7,18.413610458374023,25.99826431274414,0,1,gap_cv,-0.07364477217197418,-0.022578353062272072
1,IM0042277,2,75.04138946533203,37.1452522277832,1,1,prefix_len,0.009612346068024635,-0.002091743517667055
1,IM0042277,2,75.04138946533203,37.1452522277832,1,1,elapsed_h,-0.044738925993442535,0.006604655645787716
1,IM0042277,2,75.04138946533203,37.1452522277832,1,1,time_since_prev_h,-0.038576506078243256,-0.016724998131394386
1,IM0042277,2,75.04138946533203,37.1452522277832,1,1,dow_sin,0.03649741783738136,-0.0005839914083480835
1,IM0042277,2,75.04138946533203,37.1452522277832,1,1,dow_cos,-0.09752443432807922,0.04674052447080612
1,IM0042277,2,75.04138946533203,37.1452522277832,1,1,n_distinct_acts_so_far,-0.07264045625925064,-0.005133395548909903
1,IM0042277,2,75.04138946533203,37.1452522277832,1,1,gap_max_so_far,-0.03529107943177223,0.001778954640030861
1,IM0042277,2,75.04138946533203,37.1452522277832,1,1,pace_ratio,0.02367698773741722,-0.0004683714359998703
